id,creation_date,data.colecao.value,Autor,Data,Museu,Tipo,Titulo,Formato,URL,url,,,,,,,,
177,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Bernardo pereira vasconcellos,1899,Biblioteca Estadual do Espírito Santo,,Carta aos senhores eleitores da provincia de Minas Gerais,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1366/TOMBO-050283.pdf,https://midiateca.es.gov.br/site/acervo/carta-aos-senhores-eleitores-da-provincia-de-minas-gerais/,,,,,,,,
195,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,João batista corrêa nery,1898,Biblioteca Estadual do Espírito Santo,,Carta pastoral de D. João Baptista Correa Nery bispo do Espírito Santo: sobre a solemne homenagem a Jesus Christo Redemptor e ao seu Venerando Vigário,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1393/TOMBO-42480.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-joao-baptista-correa-nery-bispo-do-espirito-santo-sobre-a-solemne-homenagem-a-jesus-christo-redemptor-e-ao-seu-venerando-vigario/,,,,,,,,
192,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Fernando de souza monteiro,1904,Biblioteca Estadual do Espírito Santo,,Carta pastoral de D. Fernando de Souza Monteiro da Congregação da Missão bispo do Espírito Santo,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1381/TOMBO-42482.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-fernando-de-souza-monteiro-da-congregacao-da-missao-bispo-do-espirito-santo/,,,,,,,,
191,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Dan m. tikhomiroff,1933-1934,Biblioteca Estadual do Espírito Santo,,"Bonde Circular - nº 4, 6-8, 10, 12, 15-17",periódico,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1352/BONDE-CIRCULAR-No-4-ANO-4.pdf,https://midiateca.es.gov.br/site/acervo/bonde-circular-no-4-6-8-10-12-15-17/,,,,,,,,
190,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Fernando de souza monteiro,1901,Biblioteca Estadual do Espírito Santo,,Carta pastoral de D. Fernando de Souza Monteiro da Congregação da Missão bispo do Espírito Santo bispo do Espírito Santo saudando seus diocesanos,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1384/TOMBO-42481.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-fernando-de-souza-monteiro-da-congregacao-da-missao-bispo-do-espirito-santo-bispo-do-espirito-santo-saudando-seus-diocesanos/,,,,,,,,
207,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,João batista corrêa nery,1896,Biblioteca Estadual do Espírito Santo,,Carta pastoral de D. João Baptista Correa Nery bispo do Espírito Santo saudando aos seos Diocesanos no dia de sua sagração,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1390/TOMB0-42488.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-joao-baptista-correa-nery-bispo-do-espirito-santo-saudando-aos-seos-diocesanos-no-dia-de-sua-sagracao/,,,,,,,,
206,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Adelpho poli monjardim ,Data,Instituição Cultural,Assunto,Title,Tipo,url,198,,,,,,,,
204,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,João batista corrêa nery,1897,Biblioteca Estadual do Espírito Santo,,Carta de mandamento de D. João Baptista Corrêa Nery bispo do Espírito Santo ao seu clero: estabelecendo na Diocese a obra permanente da Caixa Diocesana,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1374/TOMBO-42489.pdf,https://midiateca.es.gov.br/site/acervo/carta-de-mandamento-de-d-joao-baptista-correa-nery-bispo-do-espirito-santo-ao-seu-clero-estabelecendo-na-diocese-a-obra-permanente-da-caixa-diocesana/,,,,,,,,
203,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Fernando de souza monteiro,1904,Biblioteca Estadual do Espírito Santo,,Carta pastoral de D. Fernando de Souza Monteiro da Congregação da Missão,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1377/Carta-pastoral-de-d_1904_72p.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-fernando-de-souza-monteiro-da-congregacao-da-missao/,,,,,,,,
216,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Matheus van den broeck,1877,Biblioteca Estadual do Espírito Santo,,Diário ou narração histórica,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1431/TOMBO-049085.pdf,https://midiateca.es.gov.br/site/acervo/diario-ou-narracao-historica/,,,,,,,,
